"timestamp","wait_time","acayear"
"2015-01-27 01:10:41",20,"2014-2015"
"2015-01-26 23:17:46",40,"2014-2015"
"2015-01-26 22:06:15",52.5,"2014-2015"
"2015-01-26 21:16:58",52.5,"2014-2015"
"2015-01-26 20:03:01",35,"2014-2015"
"2015-01-26 19:23:19",30,"2014-2015"
"2015-01-26 18:58:33",0,"2014-2015"
"2015-01-26 00:48:36",30,"2014-2015"
"2015-01-26 00:17:35",25,"2014-2015"
"2015-01-25 23:39:21",25,"2014-2015"
"2015-01-25 23:11:22",20,"2014-2015"
"2015-01-25 22:44:32",25,"2014-2015"
"2015-01-25 22:15:37",25,"2014-2015"
"2015-01-25 21:44:32",25,"2014-2015"
"2015-01-25 21:15:02",30,"2014-2015"
"2015-01-25 20:32:58",35,"2014-2015"
"2015-01-25 19:49:30",25,"2014-2015"
"2015-01-25 19:16:08",25,"2014-2015"
"2015-01-25 19:04:34",0,"2014-2015"
"2015-01-25 00:36:49",30,"2014-2015"
"2015-01-24 23:41:04",25,"2014-2015"
"2015-01-24 23:12:23",35,"2014-2015"
"2015-01-24 22:39:02",40,"2014-2015"
"2015-01-24 22:08:25",30,"2014-2015"
"2015-01-24 21:34:35",15,"2014-2015"
"2015-01-24 21:01:38",20,"2014-2015"
"2015-01-24 20:26:45",25,"2014-2015"
"2015-01-24 19:43:49",25,"2014-2015"
"2015-01-24 19:00:22",0,"2014-2015"
"2015-01-24 01:24:20",40,"2014-2015"
"2015-01-24 00:17:42",20,"2014-2015"
"2015-01-23 23:40:31",15,"2014-2015"
"2015-01-23 23:00:17",30,"2014-2015"
"2015-01-23 22:31:31",40,"2014-2015"
"2015-01-23 21:34:08",25,"2014-2015"
"2015-01-23 21:04:50",25,"2014-2015"
"2015-01-23 20:32:55",25,"2014-2015"
"2015-01-23 19:30:02",25,"2014-2015"
"2015-01-23 19:00:33",0,"2014-2015"
"2015-01-23 01:31:07",30,"2014-2015"
"2015-01-23 00:59:02",25,"2014-2015"
"2015-01-23 00:26:39",30,"2014-2015"
"2015-01-22 23:46:29",30,"2014-2015"
"2015-01-22 23:13:20",45,"2014-2015"
"2015-01-22 22:40:02",40,"2014-2015"
"2015-01-22 22:09:54",35,"2014-2015"
"2015-01-22 21:33:59",45,"2014-2015"
"2015-01-22 21:12:46",45,"2014-2015"
"2015-01-22 20:32:12",35,"2014-2015"
"2015-01-22 20:02:01",20,"2014-2015"
"2015-01-22 19:30:01",27.5,"2014-2015"
"2015-01-22 19:01:00",0,"2014-2015"
